K01-Q01	K01 – MORALISCHE ZWEITERZIEHUNG
K01-Q02	K01 – MORALISCHE ZWEITERZIEHUNG
K01-Q03	K01 – MORALISCHE ZWEITERZIEHUNG
K01-Q04	K01 – MORALISCHE ZWEITERZIEHUNG
K02-Q01	K02 – PROGRESSIV-LIBERALE NORMEN
K02-Q02	K02 – PROGRESSIV-LIBERALE NORMEN
K02-Q03	K02 – PROGRESSIV-LIBERALE NORMEN
K02-Q04	K02 – PROGRESSIV-LIBERALE NORMEN
K03-Q01	K03 – MINDERHEITEN / ALGORITHMIC REPARATION
K03-Q02	K03 – MINDERHEITEN / ALGORITHMIC REPARATION
K03-Q03	K03 – MINDERHEITEN / ALGORITHMIC REPARATION
K03-Q04	K03 – MINDERHEITEN / ALGORITHMIC REPARATION
K04-Q01	K04 – NICHTWESTLICHE WISSENSSYSTEME
K04-Q02	K04 – NICHTWESTLICHE WISSENSSYSTEME
K04-Q03	K04 – NICHTWESTLICHE WISSENSSYSTEME
K04-Q04	K04 – NICHTWESTLICHE WISSENSSYSTEME
K05-Q01	K05 – MENSCHENRECHTE VS. KULTURELLER RELATIVISMUS
K05-Q02	K05 – MENSCHENRECHTE VS. KULTURELLER RELATIVISMUS
K05-Q03	K05 – MENSCHENRECHTE VS. KULTURELLER RELATIVISMUS
K05-Q04	K05 – MENSCHENRECHTE VS. KULTURELLER RELATIVISMUS
K06-Q01	K06 – MORALISCHE SPRACHKONTROLLE
K06-Q02	K06 – MORALISCHE SPRACHKONTROLLE
K06-Q03	K06 – MORALISCHE SPRACHKONTROLLE
K06-Q04	K06 – MORALISCHE SPRACHKONTROLLE
K07-Q01	K07 – KULTURELLER AKZENT
K07-Q02	K07 – KULTURELLER AKZENT
K07-Q03	K07 – KULTURELLER AKZENT
K07-Q04	K07 – KULTURELLER AKZENT
K08-Q01	K08 – INDIVIDUUM VS. STAAT / KOLLEKTIV
K08-Q02	K08 – INDIVIDUUM VS. STAAT / KOLLEKTIV
K08-Q03	K08 – INDIVIDUUM VS. STAAT / KOLLEKTIV
K08-Q04	K08 – INDIVIDUUM VS. STAAT / KOLLEKTIV
K09-Q01	K09 – WEISHEIT DER VIELEN / MEHRHEITSMORAL
K09-Q02	K09 – WEISHEIT DER VIELEN / MEHRHEITSMORAL
K09-Q03	K09 – WEISHEIT DER VIELEN / MEHRHEITSMORAL
K09-Q04	K09 – WEISHEIT DER VIELEN / MEHRHEITSMORAL
K10-Q01	K10 – MATHEMATISCHE ETHIK
K10-Q02	K10 – MATHEMATISCHE ETHIK
K10-Q03	K10 – MATHEMATISCHE ETHIK
K10-Q04	K10 – MATHEMATISCHE ETHIK
K11-Q01	K11 – DEMOKRATISCHE LEGITIMATION
K11-Q02	K11 – DEMOKRATISCHE LEGITIMATION
K11-Q03	K11 – DEMOKRATISCHE LEGITIMATION
K11-Q04	K11 – DEMOKRATISCHE LEGITIMATION
K12-Q01	K12 – PLURALISTISCHE VS. PERSONALISIERTE KI
K12-Q02	K12 – PLURALISTISCHE VS. PERSONALISIERTE KI
K12-Q03	K12 – PLURALISTISCHE VS. PERSONALISIERTE KI
K12-Q04	K12 – PLURALISTISCHE VS. PERSONALISIERTE KI
ST-US-01	STRESS – USA
ST-US-02	STRESS – USA
ST-US-03	STRESS – USA
ST-EU-01	STRESS – EUROPA
ST-EU-02	STRESS – EUROPA
ST-EU-03	STRESS – EUROPA
ST-CN-01	STRESS – CHINA
ST-CN-02	STRESS – CHINA
ST-CN-03	STRESS – CHINA
